,SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
10,G,P02,S10,133443,1,남자친구가 카메라 앞에 서는 직업이여서하는법 알려주고 몇번 본인이 했는데피부가 하얗지않고서야 뛰어난 발색력을 기대할 수가 없다,그렇다고 발색되라고 몇번 올리면패왕별희가 되버리니 그냥 이정도에 만족하려구요쌍커풀있는 남자분들은 그냥 선크림같은거 발랐을때크리즈방지용으로 쓰기엔 좋을거같아요,이번에 스완님 이벤트로 브러쉬와 함께 사봤는데 정말 너무도 좋더라고요 일단 발색이 일반 아이섀도우와는 다르게 진하지 않아서 남성분들이 거부감이 들정도는 아니여서 좋았고 딱 남성분들에게 필요한 베이스포인트 무펄섀도우 4구여서 모든 컬러를 다 사용할수 있다는 점 너무 좋았어요,실수하기가 좀 힘들죠 은은하게 잘 발리면서 꾸안꾸도 할수있어요,색도 어두운 베이스 컬러가 많아서 자연스러운 연출이 가능했고 핑크색도 하나 있어서 생기있는 표현이 가능해요,,,,,
11,G,P02,S10,19675,0,립밤,입술,바르면,번들거리지,보습,4.3,2.29,2.16,1.88,1.63
12,G,P02,S10,19675,1,가성비 좋구여 파는곳이 많아 구매하기도 편하네요,진짜 무난하고 남성용으로 되어있기는 하지만 사실 뭐 여자 남자 가릴 것 없이 사용가능한 제품이니까요오히려 덜 무르고 용기도 어두운색이라 마음에 들었어요보습력도 이정도면 무난합니다,스틱형태라서 바르기 편하고 위생적입니다,보습력도 괜찮고 가격도 비싸지 않고 저렴한 편이라 자주 발라주기 좋습니다플라스틱케이스이고 크기도 작아서 호주머니에 넣고 다니기 괜찮습니다,밤에 바르고 자면 아침에 입술 각질이 불어있어서 입술 케어하기에 좋습니다,,,,,
13,G,P02,S10,12194,0,있어요,수시로,촉촉하,무광이,보습,2.33,2.02,1.34,1.0,0.57
14,G,P02,S10,12194,1,보습은 잘되고 엄청 쫀쫀하지는 않아요,디자인도 괜찮고 번들거리지 않는 촉촉함이라 좋아요,리뷰가없네요내가직접쓰지는않는데내사랑둥이한태사줬는데잘바르고다녀서뿌듯해요아리따움에서샀는데무색무향이네요아그리고케이스너무이뿌다_,촉촉하고 확실히 남자용이라 그런지 수준이 가득합니다,남자친구 사줬는데 가끔 내가 립밤 안가져가서 빌려써보면  부드럽게 발리긴한데 남자꺼라 무광이다,,,,,
15,G,P02,S10,123734,0,색이,입술,남자친구,향이,혈색이,2.26,1.75,1.74,1.55,1.22
16,G,P02,S10,123734,1,그렇다고 해서 보습이 완전 안 되고 뻑뻑하다는 게 아니라 무난한 보습감이고 전에 쓰던 립밤처럼 뭉개지는 현상은 없어서 그 점은 편하다고 하네요,입술에 생기없는 남자친구가 다른 립밤을 한통 비운 후에 현재 사용하고 있는 제품남성용 컬러립밤이 대부분 그렇듯 이 립밤도 과하게 붉게 발색되지 않고 은은하고 자연스럽게 발색되는 립밤이예요자연스럽지만 안 바를 때와 차이가 나름 확실해서 잘 사용하는 제품이예요보습력은 아주 뛰어나진 않고 무난한 정도인 것 같아요전에 썼던 컬러립밤은 잘 뭉개질 정도로 엄청 무르고 그만큼 촉촉했는데 그걸 한통 비우고 이걸 쓰니까 상대적으로 약간 덜 촉촉하다고 하더라구요,동생한테 선물로 줬는데 워낙 입술에 생기가 없어서 그런지 바르니까 비로소 사람같아보이네요,남자친구 입술색이 너무 없어서 폭풍검색해보고 선물단단한 제형 무향의 너무 진하지 않고 약간의 혈색이 돌아서 만족하네요사주고 뿌듯울오빠랑 아빠도 사드릴꺼에요,바른 티가 많이 나지 않아서 부담없이 사용하기 좋다수분감도 좋고 흡수도 빠름,,,,,
17,G,P02,S10,21174,0,차단도,자외선,되어서,무겁지,,1.69,1.55,1.17,0.81,
18,G,P02,S10,21174,1,발랐을 때 무겁지 않고 가볍게 마무리 되어서 좋습니다,챕스틱이 림밤으로 유명한데 이 제품은 자외선 차단도 된다고 하니까 더 좋은 것 같습니다,작아서 주머니 속에 넣고다니기도 편하고 제형이 너무 무겁지 않아 입술 위에 겉도는 느낌도 없어요,여잔데 이거씀 바른후에 진짜로 하나도 안끈적이고 좋음,다른회사제품과는 다르게 잘 무르지 않아서 좋고 자외선 차단도 되어서 좋음,,,,,
19,G,P02,S10,15805,0,남자,,,,,1.0,,,,
20,G,P02,S10,15805,1,남편쓰라고 사줬는데 남편이 사용을 안해서 내가 써봄비비의 기능이 원래 커버는 없었나 잠깐 생각하게 됨난 여자고 남자의 비비라 그런가 보다 생각함여자인 내입장에서 그냥 선베이스 정도이며 커버력은 없음,화장을 전혀 안하는 남자의 경우 굉장히 자연스럽게 톤업이 될수 있을거 같음,컬러는 조금 어두움 어두우나 카버력 거의 없어서 크게 의미는 없음,지성 민감성 23 남자입니다,맘에들면 추천좀 구라아니고 선크림 비비 얼굴색도 많이변해서 창피함 선크림은 기름진거 도저히못씀 답답해주금 산뜻한거는 몰라도 근데 이거는 피부톤 자연스럽게 보정해주는데 ㄹㅇ magic 얼굴이랑 목이랑 차이도 많이 안남 이제 이거 안바르면 창피함 그리고 가격 비싼듯해도 조금씩쓰는거라서 오래씀맨아래참고 저는 선크림을 이거 엄지새끼 두개빼고 나머지 검지 중지 약지에 줄세개 짜서 총9마디 양쪽 세손가락으로 비벼서 얼굴에 바르는데 처음에 선크림바르듯이 발랐다가 그냥 휴지나 옷 닿으면 그대로 묻음 심지어 한번은 하얀마스크썼다가 안에 황색마스크되는정도 지금은 두마디길이만큼만 짜서 쓰는중 참고하세요,,,,,
21,G,P02,S25,76406,0,올인원,향도,촉촉하고,아빠,남자,4.58,3.13,2.21,1.95,1.73
22,G,P02,S25,76406,1,향은 제 기준 남성 스킨 특유의 찐한 향은 아니어서 좋았습니다,아빠께 세트로 선물드렸었는데 원래 스킨 로션만 바르셨어서 쓰시기에도 간편할거 같았어요,답답하지 않고 촉촉하다 하셨는데 겨울엔 좀더 보습이 필요해서 크림도 살짝 발라드렸더니 피부가 안땡기고 괜찮다하시더라구요 ㅎㅎ,아버지에게 선물해드렸는데 사용하기 편해서 맘에 들어하셨어요,올인원 제품이라 번거롭지 않게 관리할 수 있고 겨울인데도 속건조를 잡아주는지 촉촉함이 오래간다 하시네요,,,,,
23,G,P02,S25,4108,0,촉촉하고,향이,좋아,좋습니다,비오템,3.21,2.06,1.73,1.7,1.69
24,G,P02,S25,4108,1,남편이 가끔 쓰는데 아쿠아파워 이름 처럼 수분 충전 팍팍 되는 토너이면 좋겠는데 아주 보습감이 좋지는 않다고 하네요,촉촉하게  보습되어 한겨울철  피부관리  짱,사용하기에 너무 편리하고 피부에도 착착 감기는것이 너무 좋습니다,쿨링감이 좋아서 바르면 시원합니다,끈적거림도 없고 보습력도 좋은듯 향도 깔끔하네요,,,,,
25,G,P02,S25,3691,0,하나만,아빠,촉촉,올인원,발라도,4.2,2.66,2.41,2.29,2.07
26,G,P02,S25,3691,1,남동생꺼 써봄 촉촉한듯 유분기있는 마무리감 그냥 무난무난하다 난 홍조 민감성이라 순하게는 안느껴짐,하나만 바르기엔 건조한 부분이 좀 있어서 지성분들이나 여름같은 때 맞을것같아요,무난한 제품이고 귀찮을 때 슥슥 바르기 좋다고 합니다선물받아서 사용했는데 굳이 다시 구매하진 않을거 같다,광고많이 하길래 사서 선물했더니 잘 쓰네요향도 딱히 거슬리지 않고 촉촉해서 좋대요,건성피부인데 흡수 잘되고 유분 많다고 좋아하더라구요,,,,,
27,G,P02,S25,82032,0,하나만,냄새가,편해서,올인원,남친이,2.1,1.89,1.88,1.85,1.83
28,G,P02,S25,82032,1,딱 올인원으로 하나만 바르기 좋은 느낌이에요,적당히 보습감도 있어서 조아요,제품이없어등록요청했어요ㅎㅎ남친아빠선물용제품이었어요향은 은은하고 딱좋았지만 건성인분들은이제품은 살짜건조함느끼실듯합니다ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ후기 아빠는 여태사용했던 로션보다 촉촉하다고2병재구매하셨어요,촉촉하다고 하세용,아빠가 좋아하셔서 여러번 재구매함 향도 남자스킨 특유의 냄새가 나고 하나만 발라도 돼서 좋아하심,,,,,
29,G,P02,S25,4126,0,향이,촉촉,남자,향도,좋아,2.03,1.84,1.68,1.58,1.48
30,G,P02,S25,4126,1,동생이 항상 사용하는 제품 순하고 촉촉해요,촉촉하니 쓸만한데너무무난한느낌이에요그래도 좋아요,촉촉하고 흡수력 좋아서 잘쓰고 있어요,군대에서썼었는데 보습효과가 뛰어나기보다는 그저그럼 그냥 올ㅋ내가비오템쓰다니 이런느낌정도 글고 치과냄새남,요거 물건임 ㅋㅋ 피부가 민감한편인데 이거는 발라도 붉은기가 안올라와서 좋네요,,,,,
31,G,P02,S25,64845,0,수분,남자,촉촉,피부가,평가단,3.8,3.0,2.37,2.19,2.08
32,G,P02,S25,64845,1,뭐 더 발라봐야 확실히 알겠지만 지금은 만족하며 바르는 중입니다,당첨되서 깜짝 놀랐음스웨거는  왁스정도 밖에 몰라서 기대를 않했음더구나 그동안 크림 쓴 것들이 그닥 효과가 없어서 이번에도 더 기대 안하고 발랐는데 어머나 웬걸 수분 만땅에 바르는 순간 수분막이 진짜 감싸는 느낌이 남냄새도 남자화장품 냄새가 나는데 그게 그렇게 부담스럽지도 않음,끈적이는걸 워낙 싫어해서 여름철에도 썬크림조차 안바르고 겨울철에 터도 올인원하나만 바르는 짐승같은 놈이에요올인원도 제가 엄청 뭐라고해서 그나마 쓰는데이거 써보고 어떤지말하라니까 처음엔 싫어하더니 막상 발라보고는흡수도 빠르고 끈적이는건 없는데 촉촉하니무슨 막에 보호받는느낌이라고 엄청 좋아합니다ㅋㅋ4일째 꾸준히 바르고있는데 트러블 올라오는것도 없고 여전히 좋다고합니다다쓰면 한통 사줘야겠네요ㅋㅋ,남자친구 주기전에 제가 까봤는데 젤리같은제형에 향도 독하지않고 괜찮더라구요남자친구는 30대초반 지성피부고 트러블이 잘생기는 타입이에요,그리고 이 제품이 미백이나 주름개선과 같은 기능성제품은 아니고 수분충전제품이기에 그점도 조금 아쉬웠어요,,,,,
33,G,P02,S25,128403,0,올인원,촉촉하고,민감성,향도,하나만,2.33,2.33,1.82,1.68,1.5
34,G,P02,S25,128403,1,매일 꼬박 바르던데 피부가 좀 깔끔해진게 보여서 좋네요,남자친구가 사용하는 제품인데 촉촉하고 부드러워서 좋더라고요남친이 피부 트러블이 심해서 피부에 뭐 바르는 걸 부담스러워하는데 이 제품은 잘 사용하더라고요 사계절 모두 사용하기 좋아요,남성들이 간편하게 바르기에 좋아서 찾는 것 같아요,차라리 보습력이 조금더 강한 제품 하나를 찾아보는 것이 좋을 듯 합니다,그러나 보습을 충분히 해주는 제품은 아니니 귀차니즘 남성분들이 이것 하나만 바르는 건 그다지 추천하지 않습니다,,,,,
35,G,P02,S25,3457,0,트러블,랩시리즈,얼굴에,산뜻한,향도,2.45,2.34,1.99,1.74,1.62
36,G,P02,S25,3457,1,자희 집 건성피부인 남자가 주로 쓰는건데 비오보다 더 보습감이 좋다고 하는데 평점은 더 낮네요,순하고 바로 매끈한 감이 들어서 좋다고 합니다,훨씬 더 나은 성분과 훨씬 더 저렴한 가격으로 다른 국산 토너를 구입할 수 있으므로 다시는 사용할 것 같지는 않지만 그래도 사용시에 여드름이 올라온다거나 딱히 나쁜 점은 없었어요,얼굴이 일어나기 쉽상민감하면 비추,전 오히려 좋던데 향은,,,,,
37,G,P02,S25,129457,0,남자친구,피부가,올인원,성분,민감,2.21,1.72,1.61,1.18,1.12
38,G,P02,S25,129457,1,제형도 끈적거리지 않은 마무리감이라서 좋습니다,남자친구한테 선물로 줬어요얼굴에 여러개 바르는걸 귀찮아해서 올인원으로 선물했는데 마음에 들어 하더라구요그리고 제형도 미끈거리거나 끈적한 제형도 아니라서 애용하는 템이 되어있네요피부에도 뭐 올라온 것도 없고 잘 맞는거 같다고 좋아해줬어요,그냥 펌핑하면 끝이라 바르기도 편해하는것같고 이정도는 잘 바르길래 그게 제일 장점성분에 정제수보다도 먼저 첫번째로 병풀 추출물이 위치해있어서 성분 면에서도 신경을 쓴것같네요어떠냐고 물어봤더니 반응은 그냥 그랬어요,여드름 올라오는것같기도 하다던데 그건 아마 다른것 때문이었을수도 있어서한통 다 비우긴 했더라구요,스킨 로션 두가지도 바르기 귀찮아 하는 남자들에게 편한 것 같아요,,,,,
39,G,P02,S25,8528,0,향이,좋아,향도,아빠,아버지,2.23,1.82,1.48,1.45,1.41
40,G,P02,S25,8528,1,남자친구 피부에 발림성도 좋고 트러블도 안 나고 만족해 하더라구요,벌써 제 남자친구에게 3년 째 사주고 있는 제품이에요향이 너무 좋아서 제가 계속 킁킁거리고 맡게 되네요 ㅎㅎ,그리도 귀찮다면 이거하나로 굿굿 근데 보습지속력은 쏘쏘,남자친구가 여름겨울 상관없이얼굴에 뭘 안발라요귀찮다고 아무것도 안바르는 쿨남이라서이거 줬는데 합쳐져있으니까그래도 잘 바르는거 같더라구요향은 딱 남자향ㅎㅎㅎ보습력 지속력 이런건 말을 안해주네요ㅠㅠ근데 편리하기로는 딱 좋은거같아여,아빠 애정템 간편해서 아버지가 간편하게 이용 선물로도 적당,,,,,
41,G,P02,S25,5716,0,향이,남자,냄새,시원,사용하,2.3,2.27,1.04,1.04,0.59
42,G,P02,S25,5716,1,미백 기능성 둘어간거라 야외근무 갓다온 오빠 선물 해쥬니 좋아하더라규요 하애지는거같담서ㅋㅋㅋ향도 은은하니 좋고 흡수력도좋아 모든 피부에 잘 맞을거같어요,남자친구가 향 민감한데 이건 괜찮다고함 잘 쓰고잇움,아빠스킨인데 냄새좋아서 발라봄,우리 아빠스킨이 요깄네ㅋㅋㅋㅋㅋ냄새 굿,트러블도 없고 괜찮은듯,,,,,
43,G,P02,S25,7994,0,올인원,향도,남자,촉촉,귀찮,3.11,2.44,1.37,1.1,0.51
44,G,P02,S25,7994,1,직원추천으로사봤는데 남자가 쓰기 좋음향도 좋고 면도후에도 자극 진정시켜주는 효과 짱,이거저거 바르기 귀찮으신분들한테 좋을꺼같아요,남자친구 선물로 사줬는대 향이 너무 좋아요산뜻하게 발려서 좋아합니다,스킨로션이 다 떨어져서 뭘 살까 하다가 순위가 높기도 하고 올인원이라 간편할 것 같아서 구입했습니다하나로 끝나니 저렴하기도 하고참고로 저는 건조한 중성인 피부타입인데면도 후에 발라도 자극이 없으며 적당히 촉촉하고 향도 은은해서 좋은듯 합니다겨울 되면 더 촉촉한 걸로 바꿔야겠지만 겨울 제외한 계절은 이걸로도 충분할 듯 싶네요군대 이후로 올인원은 처음인데 전체적으로 만족이고 선물용으로도 무난하게 좋겠습니다,올리브영에서 남자친구랑 화장품 코너 가서이것 저것 발라보고 고르다가 못고르고 나와서 그 옆 네리로가서결국 사온 아이남자친구는 목욕탕 냄새가 난다고 하지만나는 향도 괜찮은 것 같고여러개 바르기 귀찮아하는남자들에게 좋을 아이템,,,,,
45,G,P02,S25,33632,0,하나만,향도,남친,아빠,촉촉하,2.6,1.92,1.42,0.95,0.93
46,G,P02,S25,33632,1,지속적으로 쓰면 크게 개선될듯 남자들은 오래 쓰기 힘들겠지만 상당히 괜찮은 제품,하나로 써도 무리가없고 진짜 좋은것같아요어린나이도 쓰기 좋은 허브냄새 아빠스킨냄새가 아니라 은은하게 좋은거 좋습니당,동생선물로 줬는데 냄새도 딱좋고 엄청촉촉해요,하지만 각질도 잘 진정되고 피부진정 흡수도 잘 되서 무난하니 사용하기 좋은것같아요급할때 이거 하나 바르기엔 적합해요,너무 가볍지도 않고 무겁지도 않고 향도 이게 가장 좋다고 아주 잘쓰고 있다는게 남친왈이고덧붙여 제가 몇번 발라줬는데 발라주고 나서 보고 나면 올인원이다보니 중성 건성인 분들 경우 이것 하나만으로는 겨울 버티기 힘들것같아요,,,,,
47,G,P02,S25,78519,0,수분,향은,오일,촉촉한,기름,2.84,2.81,2.25,2.23,2.0
48,G,P02,S25,78519,1,과하지 않는 향도 좋고 피부가 보송보송해지는 느낌이 들더라구요,번들거리는거 싫었는데 이 제품은 적당한 수분감이 유지되어서 가장 좋았어요,평가단리뷰배송이 빨라서 놀랐어여문자받고 다음날인가 다다음날에 받았어요짱입니다동생이 군입대해서 뭘 선물하면 좋으려나 하는 찰나에 글로우픽 평가단에 당첨되서 좋았어요그래도 리뷰써야되니깐 제가 사용할거 조금 짜고 동생한테 보냈습니다일단 향은 천연화장품향이 나요,인조적인 냄새안나요화학적인냄새도 안나고 만족했어요바르는 순간 느낌이 진짜 촉촉한 수분크림이다,스킨로션사드리면 되게 귀찮아하셨는데 이건 하나만 바르면 되니깐 간편해용 가격도 100ml 2만원이면 괜찮은거같아요,,,,,
49,G,P02,S25,82765,0,향이,바르고,남자,남성용,평가단,3.32,2.54,2.2,2.07,1.99
50,G,P02,S25,82765,1,바르고 만져보면 촉촉한 느낌이 있는데 이것만 바르고 찬 바람 맞으면 금방 건조해질 것 같아요따지자면 가벼운 크림이라 따뜻해질 때 사용하면 더 좋을 것 같은 크림이에요,설명에는 민감한 피부 진정 등등 써있는데 확실히 자극적인건 전혀 없어요아무튼 겨울에는 보습이 좀 부족한 크림이라고 생각해요 ㅠㅠ,성분에는 향료가 들어있는데 향료로 만든 향인건가요 잘 모르겠네요남성화장품이라고 하면 대부분 알코올 계열 성분이 들어있어서 얼굴에 오히려 자극가는게 많았는데 이건 그런게 없어서 좋네요,뭐 깨지는건 아니니까 상관없을수도암튼 본론으로 들어가서 제품은 쏘쏘합니다굿굿 주기에는 보습감이 조금 부족한 느낌이 없지않아 있었어요원래 수분크림을 좀 영양감있는걸로 써서 그렇게 느낀 걸 수도 있는데 평소처럼 기초하고 마지막에 크림을 발라줬는데 뭔가 보습을 꽉 잡아준다기보다 묽은 기초를 하나 더 덧바른 느낌 근데 제형 자체는 묽지 않고 일반 크림같아요그리고 향이 굉장히 독특했어요,경품 해서 이겼는데 남자용이지만 여드름 상처에 도움되길 바랄께요 ㅎㅎ,,,,,
51,G,P04,S09,102123,0,수분,촉촉,순하고,얼굴에,팩을,2.18,1.73,1.54,1.52,1.47
52,G,P04,S09,102123,1,엄지척 자극적인 시트도 아니고 크기도 딱 적당해서 온가족데일리마스크로 짱짱,종류별로 다 쟁여뒀습니다마스크팩 15분 이상 붙이지 마시고 떼고 남은 에센스 올려주시면 더 촉촉해져요,성분이 착해서 구입한 제품 이에요마스크팩 여러가지 써봤는데 제일 잘 맞았어요유해성분이 거의 없어서 그런지 피부에 자극도 없구향도 은은한게 팩 하면서 편안했어요사이즈도 커서 저처럼 얼굴 큰 사람한테 딱 이네요에센스가 넘치게 들어있어서 샤워하고 온 몸에 발라요얼굴 팩 하면서 에센스 이렇게 많은 건 처음,봐요얼굴에만 바르지 말고 전신에 발라주세요촉촉함이 막 오래 간다,싹 밀착되면서 수분감도 높아서 1일1팩 가성비템으로 너무 너무 추천합니다,,,,,
53,G,P04,S09,124765,0,진정,젤리,시트,수분,얼굴에,4.47,4.03,3.87,3.1,2.89
54,G,P04,S09,124765,1,저도 기억해두려고 리뷰 남깁니다아임쏘리 팩들 좋은건 알고 있었고 고양이 귀엽네 하면서 하나 집어왔는데 행사할 때 더 쟁여두려구요촉촉함이 다음날까지 장난 아니네요,콧대가 거의 평지 수준으로 없는 편인데 코에도 밀착되는 마스크팩에 감동 받았음봄이 되고 예쁜 꽃들이 만발하는데 마스크팩 하고 피부화장 최고로 잘되게 해줍시다봄이왔나봄,성분에 대해 잘 몰라서 더 못적음 시트가 얇아서 밀착도 잘되고 마스크팩 떼고 나서도 마스크팩이 촉촉해서 아까워서 몸에 문지르고 싶었읍니다,겔 제형이라 무거울 것 같았지만 유분감 없이 적당하게 수분감을 채워주고 피부 진정 등의 성분들이 들어 있어 피부 개선에도 좋은 제품인 것 같았습니다,트러블 피부에도 자극 없이 좋더라구요,,,,,
55,G,P04,S09,106938,0,패치,여드름,올리브영,작은,떨어지,5.3,2.9,1.67,1.34,1.28
56,G,P04,S09,106938,1,그렇다고 흉터가 작게생기지는 않아요,여드름 빨리 익게 만들어서 짜서 없애버릴려고 여드름 많이 날때 썼었는데 빨리 염증이 진행되긴해요엄청 드라마틱하진않고 붙여두면 여드름이 말랑해져서 짜기 좋은상태가 되요,그리고 패치 위에 화장도 잘 먹어서 제 피부랑 전혀 이질감이 없다는다른 패치들은 패치 붙인데만 화장이 안먹어서 누가 봐도 티나곤했는데,여태까지 써본 스팟패치들은 턱이나 입 주변에 붙이면 밥먹을 때 자꾸 떨어지곤 했었는데 이건 잘 붙어있어요,일단 붙이면 패치 붙인 티가 안나서 너무 좋아요여드름도 하루만 써도 사라지고 평생 안고갈듯 ㅜㅜㅜㅜ그리고 땀이 많은편인데 절때 떨어지지 않아요그래서 편하게 수정 메이크업도 하고얼굴에 신경을 덜 쓰게 되요브이티는 이 제품 절대 단종시키면 안됨,,,,,
57,G,P05,S05,150032,0,입술,색상,매트,각질,컬러,5.97,4.98,4.79,4.39,3.77
58,G,P05,S05,150032,1,엄한 느낌은 많이 사라지고 무난하게 잘 받는 색이라 아무데나 바르기 좋아요,색감이 너무 예쁘고 발림성도 너무 좋아요,특히 모브병 유발 색상 모브립 좋아하시는 분들한테는 추천드려요,말 그대로 매트한 립스틱인데도 발림성 좋고 색감부터 대박이었죠,페리페라는 초창기부터 넘 좋아했던 브랜드에요ㅠ 잉크틴트부터 매트스틱까지 하나쯤은 다 써봤어요,,,,,
59,G,P04,S09,108442,0,수분,시트가,마스크팩,껌딱지,아비브,3.5,2.7,2.5,1.75,1.52
