SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,DOC_PART_NO
G,P11,S37,133521,RVD-220320-0102851,짱,0
G,P10,S34,147139,RVD-220320-0102838,드디어 맘에 드는 수분크림 찾았네요바르면 피부 부드러워지는 느낌이고 적당히 쫀쫀 촉촉해요,1
G,P10,S34,147139,RVD-220320-0102838,향은 없고요 마음에 드네요요즘 알러지로 난리였는데 자극적이지도 않아서 너무 좋아요,2
G,P10,S34,147139,RVD-220320-0102838,앞으로도 애용할 듯 하네요,0
G,P10,S34,83793,RVD-220320-0102832,피부가 건조한데 여러개바르는걸 좋아하지않아요겨울에는 단독으로 쓰기 부족하겠지만 나머지계절에는 너무너무 잘쓰고있어요가격도 용량생각하면 너무 착하고 재구매의사 300입니당,0
G,P10,S34,147861,RVD-220320-0102825,샘플링 당첨으로 사용해보았어요여름에 쓰기 좋은 가벼운 크림입니다제품 설명을 보니 발효 성분이 들어갔다고 되어있는데평소 발효성분이 잘 안맞는 편이라 그런지바른 직후 피부가 살짝 따가운 느낌이 있었어요동생은 괜찮다고 해서 동생 줬어요,0
G,P10,S34,147861,RVD-220320-0102824,우선 거의 향이 안나는편이라서 좋았어요,1
G,P10,S34,147861,RVD-220320-0102824,어어어엄청 가벼운 편이라서 지금보다 여름에 쓰기 좋을 것 같아요,0
G,P10,S34,147861,RVD-220320-0102824,토너랑 조합이 좋아서 같이 쓰면 엄청 보들보들해요,0
G,P10,S34,147861,RVD-220320-0102824,근데 제가 스킨케어 제품을 바꾸면 적응하기 전에 트러블이 나는 제품이 종종 있는데 쓴지 얼마 안됐을땐 뾰루지가 많이 났었어요 ㅠ,2
G,P10,S34,147861,RVD-220320-0102824,지금은 괜찮지만,0
G,P10,S31,154628,RVD-220320-0102819,CKD 씨케이디 레티노 콜라겐 저분자 300 콜라겐 펌핑 앰플?CKD 썬크림을 만족하면서 쓰고 있는터라 콜라겐 앰플 샘플 신청을 받길래 바로 신청했어요,0
G,P10,S31,154628,RVD-220320-0102819,역시나 대 만족바른 후 즉각적인 촉촉함도 만족스럽고 1ml 듬뿍 바르고 잔 다음날 피부가 정말 촉촉하고 탱글한것이 마음에 쏙 들더라구요,1
G,P10,S31,154628,RVD-220320-0102819,꼭 오일을 바른 것 같은 만족감오일을 바르면 속건조와 피부결은 좋아지는데 꼭 트러블이 나서 오일 못바르거든요ㅠㅠ향도 개인적으로 좋아하는 시트러스계열의 향이에요강하지는 않지만 은은하게 퍼지는 시트러스향이 참 기분 좋아요?,2
G,P10,S31,154628,RVD-220320-0102819,제형을 보면 오일인가 싶은 물방울 형태의 캡슐이 보이는데 이것이 저분자 콜라겐 캡슐이더라구요,0
G,P10,S31,154628,RVD-220320-0102819,레티날 히알루론산 300달톤의 저분자 콜라겐 콜라겐을 묶어주는 탄성 단백질 성분인 엘라스틴까지 담아 흡수율과 속도 깊이까지 신경썼다는 생각이 들었어요?,3
G,P10,S31,154628,RVD-220320-0102819,3회 사용분의 샘플을 받은지라 피부가 개선되었다고 말할만큼 써본건 아니지만 피부 치밀도 개선과 피부 누적 탄력 효과 피부 탄성 회복력 증가 콜라겐 증가에 도움을 주었다는 시험 결과를 보니 꾸준히 써보고 싶어요,4
G,P10,S31,154628,RVD-220320-0102818,피부복합성특징향이 쎄거나 하지않음건강한 향알갱이가 들어있음펴바를 때 쉽게 흡수됨흐르는 제형물처럼 흐르는 제형은 아니지만 흐름장점저는 속이 좀 건성이고 겉은 지성인데 이거 바르고 화장하니까 화장이 잘먹었어요평소보다 화장이 잘 됨흡수력이 뛰어남 속 건성이 안느껴짐촉촉함저는 화장 하기 전에 사용했을 때 만족도가 제일 높았어요불편한점양조절이 실패해서 그런지 좀 많이 발랐다 싶으면 얼굴이 조금 기름졌음특히 이걸 바르고 잔 날 아침에 좀 많이 기름짐,1
G,P10,S31,154628,RVD-220320-0102817,사용하면 굉장히 영양이 많을것 같은 느낌을 받는 제형이에요,1
G,P10,S31,154628,RVD-220320-0102817,약간의 점성과 바르면 바로 달라붙는 사용감이 금새 피부를 촉촉하게 만들어주네요,2
G,P10,S31,154628,RVD-220320-0102817,유분이 굉장히 많은 타입은 아니지만 적지도 않아서 사용양을 적절히 조정해주어야 될 것 같아요,3
G,P10,S31,154628,RVD-220320-0102817,건성에 푸석푸석한 피부에 추천드려요,0
G,P10,S31,154628,RVD-220320-0102817,지성인 분들은 잘 안어울릴 것 같아요,0
G,P10,S31,154628,RVD-220320-0102816,다음날에 피부가 하루종일 촉촉해서 좋아요,1
G,P10,S31,139562,RVD-220320-0102813,적당템  많이 건조하신 분들께는 부족한 느낌들듯앰플이지만 쫀쫀하게 잡아주거나 한방에 속까지 채워주진 못해요 ㅜㅜ,0
G,P10,S31,139562,RVD-220320-0102813,그래도 다른제품이랑 같이 바르다보니 무난하게 잘 사용한제품 흡수가 빠르고 이상한 향같은것도 없고 찐득거리지 않아 좋았어요무엇보다 가격대비 용량이 많아 퍽퍽쓰기 좋은제품 ㅎㅎ,1
G,P10,S31,141944,RVD-220320-0102806,수분이 많이 느껴지는 묽은 에센스 타입입니다제형이 쫀쫀하면서 영양이 풍부한 게 느껴지더라고요 영양감이 풍부하면 사용감이 답답하다고 느껴지는 경우도 있는데 그런 느낌 없이 쫀쫀하고 부드럽더라고요 마무리는 쫀쫀 그런데 답답하거나 무거운 느낌이 아니라 피부를 감싸주는 코팅해주는 느낌입니다,1
G,P10,S31,141944,RVD-220320-0102806,흡수가 잘 되더라구요,2
G,P10,S31,141944,RVD-220320-0102806,고르지 못한 피부 결도 매끈하게 정돈되는 느낌 영양감이 풍부한데 특히 보습에도 도움이 되더라고요 점도도 적당히 있어서 피부에 오래 유지되는 느낌이었네요,3
G,P10,S31,141944,RVD-220320-0102806,건조한 피부를 촉촉하게보습에도 도움이 되는데 쫀쫀해서 그런지 피부가 탄력 있게 통통거리는 느낌이 들어요,4
G,P10,S31,141944,RVD-220320-0102806,다음 날 아침에 피부 결이 매끄럽더라고요발림성이 너무 부드럽고 바르고? 난? 후 보습이 되서 빠른 피부진정 효과를 볼 수 있어요끈적임도 없으면서 수분감과 보습감이 풍부해서세안 후 에센스 하나만 발라줘도 당기는 느낌이 전혀 들지 않았어요향도 은은하게 좋은 냄새가 날 듯 말듯 정도입니다펌핑 타입이라 위생에도 용이하면서 사용하기에도 아주 편리했어요,5
G,P10,S31,139838,RVD-220320-0102795,크림바르기 전에 발라주면 쫀쫀하게 스며들어서 너무 좋았어요또 흡수도 너무 잘되고 수분보습도 너무 잘해주고 크림 전단계에 바르는 제품이 너무 무겁고 흡수도 잘 안되고 끈적하면 다음단계에서 크림을 바를때 같이 섞이는 느낌도 들고 고루 발리지 않는 느낌이 들어서 에센스나 앰플살때 좀 신경써서 고르는 편인데 진짜 이제품이 제품력도 좋고 가볍게 발려서 화장전에도 사용하기 너무 좋은거 같아요,1
G,P10,S31,150313,RVD-220320-0102793,실제로 사용해봣는데 너무 촉촉하고 좋아요,1
G,P10,S31,150313,RVD-220320-0102793,자극적이지 않고,2
G,P10,S31,152656,RVD-220320-0102792,실제로 사용해봣는데 너무 촉촉하고 좋아요,1
G,P10,S31,152656,RVD-220320-0102792,자극적이지 않고,2
G,P10,S23,89696,RVD-220320-0102780,두통사용한 미스트 건조한 제 피부에 정말 촉촉하고 건조함 없게 해준 미스트에요,1
G,P10,S23,89696,RVD-220320-0102780,오일이 함유되어있어서 뿌리면 건조하지 않고 은은한 광이 나면서 메이크업 할때도 뿌려주면 윤광메이크업 가능해요,2
G,P10,S23,89696,RVD-220320-0102780,분사도 굉장히 안개분사처럼 되서 얼굴에 뿌려지는 느낌도 좋아요,0
G,P10,S23,95080,RVD-220320-0102772,내 인생을 살린 건성 미스트템건조할때마다 뿌려주면 정말 촉촉함11 할 때가 많아서 가성비도 충분함,1
G,P10,S23,142143,RVD-220320-0102771,좋아요,0
G,P10,S23,142143,RVD-220320-0102771,좋아요,0
G,P10,S23,142143,RVD-220320-0102771,씻고나오자마자 얼굴전체 쫙 뿌려주면 좋아요,0
G,P10,S23,152954,RVD-220320-0102762,광대뼈  주위  거뭇거뭇한곳에   5분쯤 올려두고  사용했어요,0
G,P10,S23,152954,RVD-220320-0102762,문지르는건  솜털  닿을랑말랑하게  설설피부  안색이  밝아집니다,1
G,P10,S23,152954,RVD-220320-0102762,꼭  해보세요효과보고  엄마도  같이  쓰고있어요,2
G,P10,S23,152954,RVD-220320-0102762,맨날  스킨만  척척  바르시던분인데  쓱쓱  닦아내는거  써보시더니  좋으시데요아침  세안할때  손에닿는  느낌이 달라요  만족합니다,3
G,P10,S23,141411,RVD-220320-0102752,여드름이나 붉은 피부에 좋다고 했는데 진짜 바르고 나서 붉은기가ㅜ많이 가라앉는것 같아용,1
G,P10,S23,141411,RVD-220320-0102751,이벤트당첨돼서 썼는데 생각보다 너무좋아요,0
G,P10,S23,141411,RVD-220320-0102751,엄청 은은한 향이 나는데 거북하지않고 전 처음에 닥토로 썼는데 얼굴 닦자마자 금새흡수돼서 건조했던 피부가 좀 살만해지더라구요,1
G,P10,S23,141411,RVD-220320-0102751,지금까지 써본 물토너는 말그대로 닦는 용도로 쓸수밖에 없을만큼 별로 촉촉하지 않았는데 너무신기하네요,2
G,P10,S23,141411,RVD-220320-0102751,그래서 요증은 닥토로도쓰고 스킨팩으로도 쓰고있어요,0
G,P10,S23,141411,RVD-220320-0102750,시원하게 냉장고 넣어두다가 팩 화장솜에 적셔서 얼굴에 올려다두면 따끔하던 얼굴이 금방 진정되네요,1
G,P10,S23,141411,RVD-220320-0102750,여름에는 햇빛으로 자극 받은 피부 확 식혀줄수 있을것 같아요,2
G,P10,S23,141411,RVD-220320-0102750,피부에 부담이 없고 진정과 보습에 집중한 제품이니 수시로 바르고 다녀요사계절 내내 사용해도 좋을것 같아용,3
G,P10,S23,141411,RVD-220320-0102749,자극적이지 않고 순한 토너라서 이곳 저곳 레이어링 해 발라주기 좋아요,1
G,P10,S23,141411,RVD-220320-0102749,약간의 점성이 있는 물 같은 토너이고 보습감은 지성이 쓰기 좋은 제품입니다,2
G,P10,S23,141411,RVD-220320-0102749,건성분들에게는 단독으로 쓰기는 좀 부족할거 같습니다,0
G,P10,S23,141411,RVD-220320-0102749,진정이나 토너 팩으로 사용해도 성분이 순해서 부담 없이 사용할 수 있다는게 장점 같고 단점은 그래서 성능이 심심하다 느껴질거 같네요,3
G,P10,S23,141411,RVD-220320-0102749,트러블이나 진정용인 순한 제품이니 아무래도 여름에 더 좋을거 같아요,4
G,P10,S23,141411,RVD-220320-0102748,너무 묽거나 끈적거리지 않고 약간 쫀득한 느낌이라 수분이 금새 날아갈 것 같지 않네요,1
G,P10,S23,141411,RVD-220320-0102748,알로에 성분이 염증 완화에 도움 된다해서 마법으로 올라온 트러블에 열심히 쓰고 있는데 우선 느낌상 진정은 좀 되는 것 같은데 지속적으로 써보려구요,2
G,P10,S23,141411,RVD-220320-0102748,정착할 수 있기를ㅎㅎ,0
G,P10,S23,141411,RVD-220320-0102747,향에대한 건 호불호가 조금은 있을것 같긴한데 향만 빼면 나무랄곳이 없는 제품이었어요,0
G,P10,S23,141411,RVD-220320-0102747,수부지라 바른후 개기름 뜨는걸 싫어하는데 그런것 없이 촉촉하고 좋았으며 겉도는 느낌도 없었고 바르고난 후 탱탱하고 쫀쫀한 느낌도 받았구요,1
G,P10,S23,141411,RVD-220320-0102747,무엇보다 이거 쓸당시 턱에 여드름이 여기저기 난리아닌 상태였는데 이걸 솜에 묻혀 닦고 솜에촉촉히 적셔서 턱위에 올리고 잤더니 여드름이 거짓말처럼 사그라들었더라구요물론 다없어진건 아니지만 진정 그걸로 전 이 아이에게 감사했어요,2
G,P10,S23,141411,RVD-220320-0102746,낫씨백 원샷 케이프 알로에좋은 기회로 리뷰 이벤트에 당첨되어서 제품을 배송 받은 후부터 지금까지 매일 써 본 결과 평소 붉은기와 좁쌀 여드름이 있는 지성 피부인 제 얼굴에 잘 맞는 순한 진정 토너인 거 같아요,1
G,P10,S23,141411,RVD-220320-0102746,원래 피부가 예민한 편이라 성분이 안 맞는걸 쓰면 금방 피부가 반응하고 안 좋아지는데 이 제품은 순한 알로에 성분이라 잘 맞았고 피부 자극이 없어서 피부가 편하게 숨쉴 수 있었어요자주 화장하기 전에는 제일 중요하게 생각하는 부분이 스킨케어인데 이 스텝을 게을리하거나 잘 안 맞는 화장품으로 한다면 파운데이션을 발라도 안 이쁘게 발리고 쉽게 무너지는데 원샷 케이프 알로에를 얇은 화장솜에 적당한 양을 발라 닦토를 해주거나 볼이마턱에 팩을 해준 뒤 화장을 하면 붉은기도 없애주고 수분감 있는 촉촉한 베이스를 연출할 수 있어요,2
G,P10,S23,141411,RVD-220320-0102746,순한진정효과 있는 착한 성분의 토너를 찾으신 다면 추천드립니다,3
G,P10,S23,141411,RVD-220320-0102745,토너여도 아주 약간의 끈적임이 있어서  레이어링 하기 좋아요,1
G,P10,S23,141411,RVD-220320-0102745,패드에 적셔서 냉장보관해서 팩으로도 써봤어요,0
G,P10,S23,141411,RVD-220320-0102745,흡수도 빠르고 붉은기 진정에 좋더라구요,2
G,P10,S23,141411,RVD-220320-0102745,무향에 가까워서 로션에센스외 섞여도 충돌도 없고요 병뒤쪽에 눈금이 있어 용량조절도 돼요,3
G,P10,S23,141411,RVD-220320-0102744,촉촉하고 마냥 가볍지만은 않은 재질이라 수분감이 피부까지 느껴졌어요,1
G,P10,S23,141411,RVD-220320-0102744,좋은 기회로 받아서 써봤는데 다른 토너보다 얘 부터 손이 가네요 ㅎㅎ,0
G,P10,S23,141411,RVD-220320-0102744,재구매 의사 있습니다,0
G,P10,S23,141411,RVD-220320-0102744,생리땜에 속여드름 올라와서 아팠는데 기분탓인지 토너탓인지 사용하고나니 가라앉는게 보이네요,2
G,P10,S23,141411,RVD-220320-0102744,짱임요,0
G,P10,S23,141411,RVD-220320-0102743,일단 향이 없어서 좋았어요,1
G,P10,S23,141411,RVD-220320-0102743,향에 민감한 편이라 애매한 향이 나는 것보다 없는게 나았어요피부에 요근래 트러블이 많았었는데 자극이 없고 순해서 좋았어요진정은 잘은 모르겠는데 크게 부담없어서 좋았어요사용하다보니 트러블은 다 가라앉았어요,2
G,P10,S23,141411,RVD-220320-0102742,큰 장점은 없는데 큰 단점도 없는 무난한 토너라고 생각해요닦토로 쓰기에도 괜찮고 스킨팩으로도 괜찮고여러 번 덧바르기애도 괜찮고 어떻게 써도 다 괜찮았어요다만 꼭 이걸 사야 할 이유는 딱히 모르겠어요이 정도의 토너는 시중에 이미 많기 때문에,1
G,P10,S23,141411,RVD-220320-0102741,피부 타입저는 트러블 피지가 자주 생기는민감성  건성 피부에요며칠 간 밤샘 업무하며밀가루 음식 초콜릿을 잔뜩 먹었더니 트러블이 좀 올라오고피부가 민감해져서 아픈 상태였어요,1
G,P10,S23,141411,RVD-220320-0102741,제형제형은 물스킨에 가까우나약간 점성이 있는 타입이에요,0
G,P10,S23,141411,RVD-220320-0102741,향향은 거의 무향에 가까워요,2
G,P10,S23,141411,RVD-220320-0102741,사용감트러블이 잦은 피부이다보니알로에 베라 제품을 과거에도몇번 썼었는데제게 안맞았던 부분은즉각적인 보습은 되는거같은데끈적임이 있고휘발이 강한지 건조감이 심하다는 거였고미묘하게 피부와 따로노는 느낌이있었던 거였어요스킨 타입은 처음,3
G,P10,S23,141411,RVD-220320-0102741,써보는데이런 단점이 중화된 느낌이라 좋았어요스킨 케어 첫단계로도 쓰지만저는 주로 고무팩할 때물과 적정량 섞어쓰고 있어요100로 섞어쓰면팩이 너무 탱글해져서피부에 도포가 잘 안되더라고요그래서 230프로 정도로 섞어쓰는 중입니다보습감 나쁘지 않고진정에 도움이 되는 거 같아요,4
G,P10,S23,141411,RVD-220320-0102741,피부 효과이 제품을 일주일 좀 안되게꾸준히 사용해봤는데아직 드라마틱한 피부 효과는느끼진 못했지만매일 팩에 섞어쓰니까 진정 효과에시너지가 있는 거 같아서개인적으론 만족했어요,5
G,P10,S23,141411,RVD-220320-0102740,샘플 이벤트 당첨되서 사용해보았는데요,0
G,P10,S23,141411,RVD-220320-0102740,피부타입이 완전 민감성건조약간 트러블성 피부여서 평소 제품 사용도 완전 순한 저자극 제품위주로만 사용해요,1
G,P10,S23,141411,RVD-220320-0102740,유명 브랜드들 유명제품 사용해도 트러블이 쉽게 발생하거나 자극을 받아요 ㅠ,2
G,P10,S23,141411,RVD-220320-0102740,이제품도 비건제품으로 순하다해사 신청했는데 운좋게 당첨이 됐네요 ㅎ,0
G,P10,S23,141411,RVD-220320-0102740,일주일 사용해본 결과 일단 트러블 나지 않았구요,3
G,P10,S23,141411,RVD-220320-0102740,사용감도 자극없이 순해서 사용하는데 부담감이 없었고 사용후 자극 없어서 7스킨법에도 활용해 봤는데 좋았어요,4
G,P10,S23,141411,RVD-220320-0102740,건조한 피부인데도 한번 바른후에도 당김은 크게 못느꼈어요 ㅎ,5
G,P10,S23,141411,RVD-220320-0102740,레이어드해서 흡수해줬을때 매끈하고 끈적임없이 좋았어요,6
G,P10,S23,141411,RVD-220320-0102740,데일리 토너로 사용하기에 부담없이 좋았습니다,0
G,P10,S23,148120,RVD-220320-0102732,구매이유 일단 유투브에서 꽤 많이봣던제품이엇고 아침에 팩대용으로 붙이고나가기좋은 진정패드를 찾고있던중에 괜찮아보여서 구매했습니다,1
G,P10,S23,148120,RVD-220320-0102732,리뷰  저는 이걸 팩대용으로만 거의 사용해요,0
G,P10,S23,148120,RVD-220320-0102732,아침에 스킨케어 마무리후에 운전하면서 회사에 도착하기전까지 붙이고잇고 주차장 도착해서 떼고 흡수시켜준후 마스크를 쓰고 출근하는 고런 루틴으로 사용하고잇는데 피부 붉은기나 홍조 피부온도낮춰주기에 너무좋은 패드인것같아요,2
G,P10,S23,148120,RVD-220320-0102732,얇아서 밀착력도 엄청좋아서 손이 자주갑니다,3
G,P10,S23,148120,RVD-220320-0102732,매일사용허고잇지만 ㅎ 너무좋아서 5통정도 쟁여놨고 아끼지않고 팡팡쓰고잇어요,0
G,P10,S23,148120,RVD-220320-0102732,이런저런 진정효과는 짱입니다,4
G,P10,S23,148120,RVD-220320-0102732,성분도 착해서 사용하기부담스러운적도없고 진짜좋아요,0
