SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P05,S06,129308,1,주름끼임 덜해지고 개인적으로는 입술 안쪽만 지워지는 현상도 막아준다고 느꼈어요,써보는데 확실히 발색 자체가 완전 다르더라고요 그리고 입술 주름도 메워줘서 립 표현도 훨씬 예쁘게 돼요,매트한 립과는 정말 잘 어울리고 바르고 안바르고 발색 차이가 있어요,입술이 좀 건조한 편이고 주름이 있어서 립제품 바를 때 립스틱보다는 립틴트를 선호했어요근데 이 제품 쓰고 나서는 립스틱 마음껏 바르고 있습니다프라이머라서 번들거리려나 했는데 전혀 아니고요1만 5천원 값을 하고 있습니다바세린과는 다르게 번들거림이 아니라 촉촉함이고요나름의 지속력도 좋습니다,각질많은데 싹 메워줘서 고르게 잘 발려요,,,,,
G,P05,S06,144782,0,립밤,컬러,틴트,촉촉,입술,5.88,4.49,4.47,4.2,3.71
G,P05,S06,144782,1,2021 올리브영 어워즈 페스타에서 받았는데 첫 인상 굉장히 좋았어요우선은 케이스가 심플하고 튼튼하고 그립감이 좋습니다립밤은 발림성 굉장히 보드랍고 미끄러지듯 발려요,각질부각NO 입술건조NO 발색력 GOOD 발림성 GOOD묻어남 YES 아는 분이 사용하고 계셔서 올영세일할때 겟했는데바비브라운 틴트립밤만 쓰다가 요즘 정착템이예요,촉촉해서 립밤 대신 사용할 수 있어서 편해요,촉촉하게 보습도 되고 색상도 예뻐서 좋아요자연스러운 입술색 내기도 좋지만 몇번 덧바르면 더진해져서나름 입술촉촉한 화장용으로도 굿굿 하지만 요즘처럼 마스크쓸때는사용하기엔 너무 묻어나서 비추예요,촉촉하고 컬러감도 잘올라와요 제가쓰는 나스 립밤컬러랑도 비슷하고 저렴이템 찾은것같아서 좋아요,,,,,
G,P05,S06,152006,0,입술,컬러,발색,촉촉,립밤,2.05,2.01,1.79,1.49,1.35
G,P05,S06,152006,1,5호가 이정도면 다른색상은 더 연할듯다만 제형 자체는 참 독특하고 맘에드는데 부드럽게 녹듯이  발리지만 립밤특유의 미끈하고 기름진 막이 아니라 쫀득하게 입술에 착 먹어요,유리알처럼 예쁜 입술 표현까지는 잘 안되어 아쉬웠구 그래도 무난하게 촉촉한 입술을 만들수 있습니다,4호 로즈브릭 사용하고있어요장점컬러립밤은 보습이 잘 되지않거나 컬러가 맘에드는 색이 없어서 별로 좋아하지않았는데 테스트해보고 딱 썬크림정도 바르고 혈색줄때 좋을꺼같아서 사봤는데 처음,촉촉하고 발색도 너무 예쁘게 되서 만족해요진득하고 무거운 느낌이 아니고 부드럽게 슥슥발리면서 촉촉하고 물광내듯이 발려서 만족해요,보습력은 괜찮고 발색도 은은한데 뚜껑이 좀가격도 로드샵 립밤 치고는 좀 나가는 편입니다,,,,,
G,P05,S06,152974,0,립밤,입술,각질,좋아,눅스,5.17,4.41,1.46,1.39,1.38
G,P05,S06,152974,1,겨울이라 아무래도 입술이 매일 트고 건조해서 립밤 사봤는데 이건 특이해요,여겨주세요비플레인 립밤은 겉과 안 내용물이 다른 도넛 모양으로 이루어져 있으며 안쪽에 속하는 것이 각질 불러주기 좋다 했나 그래서인지 뭔가 외출 전에 바르기는 좀 그런 부분이 있다,잇꽃오일 유래 식물성 세라마이드가 수분감을 유지하고 입술 장벽 강화에 좋다고 해요,향도 거슬리지않고 보습력 최강이에요,매일 꼬박 꼬박 챙겨바르고 입술 보습 관리 열심히 해야겠어요,,,,,
G,P05,S06,153423,1,UNLEASHIA 글레시어 비건 립밤 NO2 블루 라군33g 15000원내돈내산글로시립베이스 비건글리터립밤 퍼스널글리터립밤 카멜레온립밤 생기비타민립밤NO2 블루 라군 BLUE LAGOON인위적인 핑크 색소가 아닌 자연스러운혈색을 더해주는 카멜레온 립밤_MUST HAVE GLITTER LIP BALM겨울 필수템 글리터 립밤립스틱 틴트 등 어떤 립 메이크업을 연출하더라도 컬러 위로 빛나는 글리터글로시 효과를 경험해보세요부담스럽지 않은 펄감으로 자연스럽게 살아나는 광택감 도톰하고 볼륨 있는 입술로 글로시 메이크업을 완성해보세요_PREMIUM CRYSTAL크리스탈처럼 빛나는 펄표면이 매끄럽게 깎인 미세 입자의 글리터로 사이버틱하지 않고 고급스럽게 반짝이는 부드러운 펄로 촉촉하게 밀착돼요_MOISTURIZING LIP KARE슈퍼 비타민  보습 케어 쉐어 버터_촉촉한 보습막비타민 C_아스코빅애씨드비타민 A 유도체_레티닐팔미테이트비타민 C 보강_바이오플라보노이드비타민 P_헤스피리딘비타민 E_토코페롤_SOOTHING  SOFT TEXTURE제형 안에 꽉찬 쉬머펄이 부드럽게 멜팅되어 까슬함 걱정 없는 텍스처끈적임이나 답답함 없이 산뜻하게 깃털처럼 가벼운 발림성_VIGAN LIP CARE언리시아가 선보이는 비건 립 케어원료 제형부터 제조과정까지 철저한 준비 당신을 위한 퍼스널 립 케어이자 건강한 지구에서 동물과 더불어 모든 생명체가 행복하길 바라는 더 건강한 비건 라이프를 위해 오랜 시간 고민하여 탄생한 언리시아의 비건 글리터 립밤UNLEASHIA 글레시어 비건 립밤 NO2 블루라군 총점40끈적임이 적어요매끄럽게 발려요부담스럽지 않아요사이버틱하지 않아요간편하게 바르기 좋아요보습력이 아쉬워요가성비가 좋지는 않아요추천끈적임이 적은 제품 찾으시는 분매끄럽게 발리는 제품 찾으시는 분부담스럽지 않은 제품 찾으시는 분사이버틱하지 않은 제품 찾으시는 분간편하게 바르기 좋은 제품 찾으시는 분보습력이 좋은 제품 찾으시는 분가성비 좋은 제품 찾으시는 분WINTER_cool ,x unleashia 광고찾았당 영롱한 펄 가득 립밤 ㅇ0ㅇ?????????????????? ?????????????? ?????? ???????? 비건화장품 언리시아 글레시어립밤 크리스탈 눈꽃을 연상시켜주는 글리터립밤 출시 펄이 콕콕 박혀 눈과 입술 영롱해보이고픈 부위에 사용하기 좋은 멀티밤 인데여글리터립밤 이라서 이물감이 느껴질 거 같았지만 unleashia 는 펄 하나하나가 매우 미니멀하면서표면이 매끄러워 균일하게 펄과 컬러를 발색됐어여 촉감은 부드러운 일반 립에 펄 박혀있는 느낌이였궁입술에 착완벽밀착되는 기분 마스크안에서도 불편함이 없더라구엽 또 맑기만 한 게 아닌 비타민 컴플렉스와쉐어버터가 보습과 건강한 반짝임을 선사해주었답니댜???????? ???????????? 01 블루라군 투명 베이스에 골드펄로 데일리함이 전달된다면???????? ?????????? 02 스노우프로스트입술 온도와 만나면 핑크빛으로 바뀌는 카멜레온립밤  02호는 펄이 블루빛처럼 보였지만 막상 발라보면 핑크와 골드 화이트로 거부감이 없었어요아무래도 컬러가 있다보니까 생기도 더해지는듯 하네영글리터 사룽하는 까마귀라면 글레시어비건립밤제가 강력ㅎ ㅣ 추천드리구 갑니당펄립스틱 비타민립밤 글로시립밤 멀티밤추천 비건  비건뷰티 비건립밤 립밤추천 코덕 뷰티스타그램 크롱립,,,,,,,,
G,P05,S06,157,0,입술,립밤,각질,화한,단지형,6.33,5.77,5.23,4.81,3.51
G,P05,S06,157,1,대신 손으로 바르니까 좀 오염 이런것도있고 립밤은 수시로 발라야하는데 요즘같은시기에 밖에서 손으로 찍어바른건 너무 위험해서 집에 두고 자기전에 바르는템으로 쓰게 되네요 ㅠㅠ,살짝 향이 그렇게 좋지는 않지만보습은 죻아서 하나 다 쓸때까지 지속적으로 썼네요,그래도 보습이 잘 되고 자고 일어나서도 남아있어서 그냥 유명한 제품은 아니구나 하긴 했답니다 가격도 엄청 저렴하고 화하기 때문에 무난하게 괜찮은 제품이라고 생각해요,바르면 화한 느낌이 있고 리뷰가 너무 좋아 기대했는데 평소 바세린 쓰던 제게는 보습감이 부족한 느낌이었어요,진짜 입술에 각질이 너무 심하게 일어나는 편인데이거 올리고 자면 물티슈로 살살만 밀어도 후두둑 떨어집니다다만 상처 있을 때 조금 화한 감이 배가 된다는 단점은 있어요그거 빼고는 진짜 짱입니다,,,,,
G,P04,S09,113193,0,시트,좋아,얼굴에,촉촉,수분,4.3,3.36,2.97,2.53,2.45
G,P04,S09,113193,1,그래서그런지 에센스가 엄청 많이 남아 있어서 다음날 아침 저녁으로 스킨 대신 닦토처럼 씀끈적한 에센스 느낌인데 흡수 후 끈적거림 없어서 좋음에센스 타입이라 그런지 보습은 부족해서 팩 후에 크림은 필수요,보니 확실히 달달한 냄새도 나고 마무리감도 끈적이는 편입니다수분감이 부족하다 느껴지지는 않지만 일단 가격이 너무 세서재구매는 하지 않을 것 같아요,근데 환절기다 보니까 건성한테는 약간 속건조가 있을수 있다,적당히 꿀냄새가 나서 딱 붙일 때 힐링되는 냄새에요,요즘 이 마스크팩 완전 만족하며 사용 중입니다개인적으로 화장품에 향이 자극적으로 들어가는 걸 좋아하지 않는데 꿀 냄새가 적당하게 나면서 힐링 되는 이 느낌그런데 사용법이 조금 어려운 거 같아요,,,,,
G,P04,S09,117857,0,시트,양이,얼굴에,평가단,영양,4.33,4.2,4.12,2.82,2.45
G,P04,S09,117857,1,민감성인데 트러블이나 자극 없었고 하고 나면 영양감 듬뿍 충전된 느낌이 들었어요,밀착력도너무좋고 광나는촉촉한 피부로 바뀐답니다,액이 너무 많고 시트가 잘 안펴져서 좀 당황스럽지만 효과는 정말 좋아요,꿀이 함유되어 있는 마스크 중에 다소 너무 묵직하거나 진득한 느낌이 있으면 꺼려지는데 이 제품은 그런 사용감없이 끈적임 없고 시트도 부드러워 자극이 없었어요마스크 떼고나면 크림이나 오일로 마무리 하는데 함께 시너지 낼 수 있는 크림도 있어서 좋았고 크림제형도 너무 무겁지 않고 적당한 유수분을 느낄 수 있었고 양도 넉넉해 특히 여행갈때 스킨케어 대신 챙겨도 좋을 것 같아요,시트가 엄청 꼬깃꼬깃 구겨져서 들어있고 잘 안펴져서 좀 짜증났는데 얼굴에 붙이는 순간 짜증이 다 사라짐 마스크 붙이고 이것저것 하는 편이라 밀착력이 중요한데 얼굴에 착 붙어서 안미끄러져요,,,,,
G,P04,S09,125153,0,진정,어성초,얼굴에,구달,효과,5.9,4.7,2.66,2.56,2.47
G,P04,S09,125153,1,패부 진정에 진짜 괜찮게 효과 봤고 무엇보다 에센스가 진짜 많이 들어있어요,사용해 보았는데 어성초 성분이 있어서 그런건지 마스크팩을 붙이고 있는 동안 얼굴이 약간 화한 느낌이 나더라구요,피부 뾰루지나고 컨디션안좋을때 사용하면 좋아요,어성초 진정이지만 트러블에 큰 효과는 없었다,샘플로 마스크 팩 받아서 사용 해보고 괜찮은거 같아서 직접 구매해서 써봤는데 팩 하고 다음날 피부가 확실히 촉촉해서 만족,,,,,
G,P04,S09,139620,0,수분,시트,촉촉,밀착,좋았어요,5.71,3.53,3.23,2.31,2.17
G,P04,S09,139620,1,진짜ㅋㅋㅋ그리고 일단 순한게 딱 느껴지고요 트러블도 없고 건조한느낌도 전혀 없었어요,성분은 순한 것 같은 ㅎㅎ 세일해서 쟁여두고 쓰면서 만족은 하지만 제값주고사기는 제품력이 좀 아쉬운 느낌 ㅠㅠ,대신 마무리감이 끈적임이 있어서 아쉬웠어요ㅠㅠ 기본기만 있는 팩이었어용 ㅎ,근데 좀만 지나면 약간 건조해 져서 수면팩이나 수분크림 같은 걸로 보완해줘야될 것 같아염,수분감 위주의 무난한 마스크팩인것 같아요딱히 이렇다 할 특별한 기능은 없었지만건조한 피부에 수분진정 주는 효과로 좋았어요,,,,,
G,P04,S09,143724,0,진정,세럼,촉촉,트러블,팩처럼,3.47,3.0,2.12,1.97,1.45
G,P04,S09,143724,1,떼고나도 계속 촉촉해요진정효과 좋은 것 같아요,진짜 쿨링감 보습감 최고에요냉장고에 넣어두지 않아도 계속 시원해서 피부 열감이 올라오거나 드라이기 사용할 때 꼭꼭 붙여주는 패드에요,그냥 메컵전 머리말릴때 양볼이랑 이마에 올려놓는 용도로 사용해요,오후에 볼 뜨거워져도 양볼에 올려놨다가 닦아내고 수분크림 발라주면 피부가 시원하면서도 촉촉해져서 한번 쓴 후론 끊을수가 없네요패드가 정말 부드럽고 밀착감이 좋은데 하나 단점이 패드크기가 좀 작아요,써봤는데 패드 크기는 작지만 부들부들하고 세럼이 가득 있어서 마를 걱정없이 오래 붙이고 있을 수 있어요주로 머리 말릴 때 붙이고 있는 편인데 붙였다,,,,,
G,P04,S09,146144,0,수분,촉촉,자작나무,라운드랩,얇고,6.79,3.52,3.31,3.04,2.69
G,P04,S09,146144,1,매일 그냥 스킨로션으로만 바르다가 자작나무 수분패드를 사용해보니깐 촉촉함이 다음날까지 지속되더라구요,그리고주위 에서 피부가 많이 좋아 졌다고 많이 이야기 하고그리고 저도 느낄만큼 피주가 좋아 진것 같습니다진짜로 추천 입니다 ㅎㅎ,첨에 다른패드랑 큰차이 없겠지 했는데 수분유지력이  끈적이지 않는데 다음날까지 건조하지 않게해줘요,출시되었던 때 구입한 타브랜드 패드는 무척 얇고 거칠어서 피부가 많이 민감해져서 사용하다 버렸거든요그러다 도톰하고 부드러운 패드를 찾아다니다 라운드랩 자작나무 패드를 만났어요수분을 흠뻑 머금은 도톰하고 톡톡한 패드 와우타브랜드 당근패드를 사용하고 극찬을했는데 라운드랩도 참 만족합니다,패드 자체가 넓고 양쪽 명 둘다 보들보들해서 아침에 쓱쓱 닦아주기 좋았어요,,,,,
G,P04,S09,148004,0,트러블,아이소이,진정,닦토,스팟,3.95,3.67,2.64,2.33,1.84
G,P04,S09,148004,1,여름에 붉어진 피부 진정시키기 짱이에요냉장고에 넣어놨다가 시원하게 사용했습니다저한테는 여름엔 필수품 같은 존재가 됐어요,아이소이 스피드스팟을 8통째 사용하다가 스팟패드도 궁금해서 구매해봤어요,15분 이상 얹어둘 수 있을 만큼 충분한 에센스양입니다성분 어성초 병풀 등 불가리안로즈사용 트러블이 막 올라와 통증이 있을 때 진정용으로 쓰기 좋네요,그리고 마무리감도 물 같지가 않고 기초 앰플 바른 것처럼 쫀쫀한 액체가 남아있어요,예전보다 트러블이 많이 괜찮아져서 꾸준히 재구매하고있어요,,,,,
G,P04,S09,152163,0,진정,시트,수분,있어서,좋아,7.01,5.31,3.02,2.98,2.71
