SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
G,P12,S03,61889,1,N,아니야 그냥 백단향은 다 좋아 세정력 세정력 나쁘지 않음,샴푸랑 린스 같이 쓰면 확실히 냄새가 좋은 건 맞는 것 같아요,이거쓰고 친구들이 머리냄새 좋다며 달려들었어용확실히 머릿결도 부드러워지고 여성스러운 향기가 느껴지네요,으ㅜㅜ 이거 왜 향이 좋은거에요나 샴푸에다가도 똑같이 쓸데야파란색 향이 훨씬 좋아요이거 나무에 천연염색하는 딱 그런 유약냄새절가면 나무에 마감할때인지 색칠할때인지나의 기억속에는 딱 절에서 맡던 그 향윽 아깝다900미리 대용량으로 샴푸린스 둘다 샀는데ㅠ별로에요,사극에 나오는 아씨느낌이 남진짜 퍼퓸샴푸였으면 집에 쌓아놨을듯 아직까지 이거 쓰는 애들 본 적이 없어서 오직 내 향기로 할 수 있음,,,,,
G,P12,S03,82441,0,P,향이,향은,린스,향기,지속력,2.72,1.78,1.64,1.42,1.37
G,P12,S03,82441,1,P,동네마트에서 처음써보고 몇통 더 썼네요ㅎㅎㅎㅎ성분은 잘모르것고 기능성은 아닐지라도흔한향이 아니라서 한번쯤 써보길 추천해요같은라인에 핑크색도 꽃향기가 더 진하면서 좋아요,향이좋다고 해서 샀는데 향은 약해서 잘 안느껴집니다,그냥 무난히 동네 마트에서 파는 그런건데향이 진짜 너무 좋음56년전 중23때 이걸로 남학생 꼬심,향이 너무너무 좋아요늘 다른 린스 사용하다가 다시 돌아오게 되네요진짜 만족하면서 사용하고 있습니다,무난한 꽃향기라고 하기엔 뭔가 더 묵직하고 느끼한 향수 냄새가 나는데 전혀 좋게 느껴지지가 않음,,,,,
G,P12,S03,82441,0,N,향이,향은,모르겠,냄새가,오래,4.25,1.5,1.45,1.43,1.37
G,P12,S03,82441,1,N,향이좋다고 해서 샀는데 향은 약해서 잘 안느껴집니다,향이넘한방스럽지않아좋음,향은 또 오래가서 감은 다음날 머리에서 뭔가 유분이랑 합쳐져서 그런지 좋지 않은 냄새가 났다,향이넘모 좋죠 ㅎ머리묶고 다니는데풀때마다 향이 옴팡옴팡 퍼지구 ㅎㅎ이거랑 핑ㅋ색도 괜찮은데 이게 더좋았어요,왜인지는 모르겠지만 리엔하면 한약냄새가 날것같다고 생각했는데 어쩌다 집에 있어서 사용했어요,,,,,
G,P12,S03,82543,0,P,머릿결이,향이,컨디셔너,있어요,올리브영에서,2.43,2.19,2.16,1.78,1.35
G,P12,S03,82543,1,P,컨디셔너 많은 제품 써봤는데 좋아요,속는셈치고 사봤는데 샴푸만 해도 머릿결이 부들 부들해지고 물기를 짜낸후에 컨디셔너를 도포하고 10분정도 방치하고 헹궈내면 머릿결이 묵직해진 느낌이 들어서 좋아요,올리브영에서 11이나 50할인도 자주하고 양도 꽤 많아요근데 이 라인이 곱슬 케어 특화라던데 사실 그런 효과는 잘 모르겠더라구요,몇통째 쓰는건지 모르겠음효과가 즉각 나타나서 좋음근데 그게 다임 그래도 가격도 저렴하고 올리브영에서 원플원 자주때림 같은 가격대중에 제일 좋음,존 프리다 제품 거의 다 써봤는데 컨디셔너 보다는 트리트먼트가 더 효과 좋은느낌이에요,,,,,
G,P12,S03,82543,0,N,향이,머릿결,컨디셔너,효과,사용하고,2.58,1.96,1.57,1.33,1.05
G,P12,S03,82543,1,N,향이 한국 컨디셔너 제품에서 날법한 향이 아니길래 제조국을 확인해봤더니 역시나 한국제품이 아니였다,거의 4주째 사용하고 있는데 이 제품 없으면 다시 머릿결 망가질 것 같아서 쟁여놓고 씁니다,그래서 처음에는 약간 거부감이 들었는데 쓰다보니 우아한 향인거 같아서 괜찮아졌어요저는 아직 효과 본 컨디셔너 제품이 없었는데 이것도 그저그래요ㅎㅎㅎ,글픽 순위 보고 샀는데 향도 넘 독하고 곱슬이 안정되지도 않아요 ㅠㅠ,세통 비웠는데 지금은 잠시 멀리하는중영국에서 트리트먼트 필요해 사서 쓰다가 한국에서도 계속 썼었어요장점 향향이 진짜 너무너무너무 좋아요 ㅠㅠㅠ,,,,,
G,P05,S05,14295,0,P,지속력,입술,발색,색상,핑크,1.53,1.38,1.37,1.35,1.18
G,P05,S05,14295,1,P,립글로스 특성상 잘 묻어남은 있는데 다른 립글로스보다 지속력도 좋고 우선 색이 너무 이뻐요 펄 있는 제품이랑 없는 제품 둘 다 사용중인데 둘 다 색상이 미쳤어요ㅠㅠ 지속력 좋은것도 넘 좋구요,다만 발색이 그렇게 잘되는 편은 아니고 지속력도 그렇게 좋지는 않아요,건조한 입술이 저는 수분감에 적당한 유분기가 있는 것을 선호하는데 수분감에 예쁘게 발색되는 색표현에 아주 좋았어요,끈적이긴하는데 예쁘니까 참아요,지속력과 발색력은 적지만 색감과 촉촉함 자연스러운 화장에 딱 적합합니다,,,,,
G,P05,S05,14295,0,N,좋아,끈적임,촉촉,글로,반짝,1.33,0.85,0.49,0.35,0.31
G,P05,S05,14295,1,N,건조한 입술이 저는 수분감에 적당한 유분기가 있는 것을 선호하는데 수분감에 예쁘게 발색되는 색표현에 아주 좋았어요,립 위에 바르면 색이 밀키해지는 흰끼가 섞여서 색이 희석되고 탁해보여요 립 위에 살짝만 얹어도 립이 다 지워지는 느낌 그리고 펄이 너무 크고 많아서 반짝이풀 같아요,아니 이걸로 립을 바르고 밖에 다닐수가 있나요,넘 끈적여요ㅜㅜ풀립 절대 네버 노노 불가능인 제품이구여여름에 입술 반짝반짝하게 빛내고 싶을때한두번 한두번입니다,우선 색상이 너무 예뻐요 디올쓰다가 입생을 몇년간 썻엇는데 결국 다시 디올로 돌아왔어요,,,,,
G,P05,S05,154448,1,N,Aragon 컬러 사용중입니다립글로즈는 끈적끈적 하다는 선입견을 가지고 있었는데 이거 진짜 요물이에요 ㅠㅠ 그 인스타에서 보이는 물먹믈먹립이 만들어집니다 ㅠㅠ 저만쓸거에여 ,,,,,,,,,
G,P05,S05,20632,0,P,지속력도,입술,촉촉,표현,발색,2.58,1.87,1.37,1.17,0.99
G,P05,S05,20632,1,P,틴트나 립스틱도 아닌디 색 표현이 잘되고 무엇보다  코코넛 향이라고 해야하나 향이 맘에 들어요,끈적임이 있긴 하지만 투명하고 색상도 예쁘고 촉촉해요,컬러는 컬러대로 살려주고 글로시함도 살려주어 좀더 입체적인 입술 표현이 가능해요,색두이쁘고 지속력도굿  전입술건성인데 좋았어요,다른 립스틱 위에 섞어서도 써보니 색상이 조합이 어느정도 되기도하지만 개인적으로는 이거 단독으로 가볍게쓰기에 좋다고봐요 그리고 립이 촉촉해보이고 퐈하면서 주름 펴지는듯한 느낌 조금있어요,,,,,
G,P05,S05,20632,0,N,컬러,입술,립글,,,1.12,0.81,0.68,,
G,P05,S05,20632,1,N,머리카락도 입술에 많이 붙고 그래도 너무 예뻐서 절대 포기 못하는제품 집에 색깔별로 한 8개정도 쟁여놓은  ㅠㅠ,틴트나 립스틱도 아닌디 색 표현이 잘되고 무엇보다  코코넛 향이라고 해야하나 향이 맘에 들어요,선물받아 사용해보게 되었는데 끈적임이 심함,보고있는데로 발색이 된다는게 신기한게 맥 립글라스의 특징이예요,립글로즈의 정석 이거 쓰면서 다른 로드샵 물건들 썼다가 모든 립글로즈가 이렇지않다는걸 알게 되었어요,,,,,
G,P05,S05,22,0,P,입술,좋아,있어요,진하,예뻐,2.32,1.49,1.25,1.23,1.19
G,P05,S05,22,1,P,필러맞은느낌 두툼해지그여 근데 머리카락이 너무 잘 붙을 정로도 찐득ㅎㅐ서 바람 날리는 날 바르면 안됩니다ㅜㅜ,656컬러 사용중인데 연한 핑크빛이 돌고 펄도 포함되어있어 입술을 윤기나게 만들어줍니다매트한 립 바르고 위에 덧발라주기 좋아요,색은 정말 예뻐요 펄도 예술이고요 그래서 바르면 부담스러울 수 있어요첨에는 여리여리하게 발색되는데 시간이 지나면 더 진해져요,선물 받아서 사용중 케이스 넘 이쁘고ㅠ 갠적으로 단독으로 바르는거보다 립 하나 발라주고 위에 올리면 이쁜거같음,저는 립을 진하게 발색하는 편이여서 매트한 립제품이랑 같이 사용중이예요겨울에는 입술 건조함 없이 사용할 수 있는 제품이라 좋습니다,,,,,
G,P05,S05,22,0,N,입술이,글로스,발색이,끈적,올리,1.61,1.36,1.33,1.09,1.06
G,P05,S05,22,1,N,디자인도 예쁘고 브랜드 이미지에 혹해서 가지고다니기 좋은 립글로스라 구매했다가 서랍속에 박힌 아이입니다일단 바르면서부터 끈적이구요,656컬러 사용중인데 연한 핑크빛이 돌고 펄도 포함되어있어 입술을 윤기나게 만들어줍니다매트한 립 바르고 위에 덧발라주기 좋아요,선물 받아서 사용중 케이스 넘 이쁘고ㅠ 갠적으로 단독으로 바르는거보다 립 하나 발라주고 위에 올리면 이쁜거같음,773호 선물받았는데 제 취향보다는 광나는 느낌이 적고 끈적거리는 느낌이 많아서 아쉬워요,끈적하네요선물받아서 쓰고는 잇는데 자주 손이 가는편은 아니에요,,,,,
G,P05,S05,2941,0,P,돌체비타,입술,색상,드래곤걸,바르면,3.82,3.41,3.35,3.31,2.69
G,P05,S05,2941,1,P,진심으로 처음에 오버 립 그려주고 다른 제품 립이랑 같이 발라도 이쁘고 립 펜슬 하나로 립 그려줘도 이쁘고 그냥 색감 너무 제 스타일이라 만족하며 사용하고 있어용,진심 예버요 ㅠㅠ 단독으로 발라도 되고 다른 색이랑 섞어서 쓰면 분위기 진짜 레전드 입니다부담스럽지 않은 차분한 색이어서 요즘 매일 쓰고 있는 아이입니당 그리고 매트한거 치고 각질 부각이 그렇게 심하진 않더라구요,매트하고 좋아요,예쁘게 바르기 어려운 제형 단단한데 부드럽긴 하지만 굉장히 건조함이 느껴지는 매트함 색상은 예쁜 체리레드 색상입니다,탁한 자주빛이 돌면서도 그라데이션으로 바르면 고급스럽고 우아한 느낌이 드는 컬러에요,,,,,
G,P05,S05,2941,0,N,돌체,색상,컬러,드래곤걸,그래,2.41,2.35,1.4,1.06,1.03
G,P05,S05,2941,1,N,진심 예버요 ㅠㅠ 단독으로 발라도 되고 다른 색이랑 섞어서 쓰면 분위기 진짜 레전드 입니다부담스럽지 않은 차분한 색이어서 요즘 매일 쓰고 있는 아이입니당 그리고 매트한거 치고 각질 부각이 그렇게 심하진 않더라구요,유행하기 시작한 시절 딱 예쁜 내 입술 같은 색이라 진짜 인기 많았는데 지금은 워낙 그런 색이 많아서 굳이 불편하게 립펜슬을 사진 않을 거 같아요,돌체 비타 색상은 쓰고 나서 왜 다들 MLBB의 시조라고 그렇게 찬양을 했는지 알 수 있게 되었어요,보송보송하고 입술에 얹으면 매트한 벨벳처럼 보이는데 바를때는 촉촉하게 발려서 너무 편해요,그런데 그만큼 빨리 닳는 느낌ㅋㅋㅋㅋ 전용 샤프너도 비싸긴해요매트해서 그런가 각질부각이 있는 편입니다,,,,,
G,P05,S05,40815,0,P,입술,색상,컬러,립라인,앤틱박스,3.58,3.41,2.08,2.07,1.86
G,P05,S05,40815,1,P,저는 입술에 약간만 생기가 도는 걸 좋아해서 다른 립 제품 안 쓰고 펜슬로만 살짝 칠해요,라인그릴때 엄청 부드럽진 않지만 색상이 잘 나오고 유지력이 좋아서 맘에 들어요 ㅎㅎ,입술 가장자리에 약간의 착색도 있고 경계선이 모호해서 처음으로 립 펜슬 구매해봤는데 만족합니다,오버립 하려고 샀어요 ㅎㅎㅎ,사용법만 제대로 숙지한다면 대단한 저력을 발휘하는 립펜슬입니다,,,,,
G,P05,S05,40815,0,N,입술,바르면,립라인,립펜슬,로스트걸,3.02,1.57,1.5,1.46,1.43
G,P05,S05,40815,1,N,저는 입술에 약간만 생기가 도는 걸 좋아해서 다른 립 제품 안 쓰고 펜슬로만 살짝 칠해요,웜한 레드 컬러 형광등 켜주는 컬러라 마음에 듬  하지만 발색이 약함,오버립 하고싶어서 립라인 그렸는데 뭔가 번지는 느낌이고 입술 모양도 안예쁘고 맞는 립스틱 없어서 이걸로 풀립하려고 하니까 너무 건조하고 결국 쳐박템됐는데요 ㅠㅠ,색은 진짜 너무 예뻐요ㅠㅠ 근데 단점이 발색이 잘 안 돼요 립라이너 용도가 아니라 입술 안쪽에 바르려고 산 건데 바르다가 잘 안 나와서 입술 각질이 벗겨지는 상황이 왔습니다,립라이너지만 색상이 화사하고 예뻐서 누디한 립스틱발라주고 안쪽엔 이 라이너 바르고 다녔어요,,,,,
G,P05,S05,7516,0,P,입술,2호,가격,부드럽게,라인,2.45,2.34,2.23,2.13,1.96
G,P05,S05,7516,1,P,제형이 부드럽다보니 너무 많이 빼거나 떨어뜨리면 잘 부러져서 조금씩 돌려 사용해야돼요워낙 저렴하다보니 다시 구매하기 부담없어요립라이너 입문하는데 저렴이를 찾으시면 추천합니다가성비 갑 립라이너,아이라이너보다 사알짝 두꺼운 굵기로 흔히 아는 립펜슬 두께는 아닌데 부드럽게 발리고 블랜딩이 잘되서 크게 거슬림이나 불편함은 없었어요,다만 브라운컬러를 제외하고 나머지 호수들은 쿨한 느낌이 있습니다,입술에 음영감도 살짝 줘서 도톰해 보이는 효과가성비도 좋아서 립 라이너 입문용으로 추천합니다,시간이 지나면 탁해지고 문지르면 자연스럽게 펴발라지지 않아요,,,,,
G,P05,S05,7516,0,N,가격이,컬러,자연스,색상,지속력,2.45,1.56,1.33,1.33,1.29
G,P05,S05,7516,1,N,아이라이너보다 사알짝 두꺼운 굵기로 흔히 아는 립펜슬 두께는 아닌데 부드럽게 발리고 블랜딩이 잘되서 크게 거슬림이나 불편함은 없었어요,한 컬러에 4000원 좀 안되게 주고 산것 같은데 전색 상을 사도 20000원이 안넘었답니다  가격이 저렴하다고 해서 절대 퀄리티가 부족한 건 아니라 더욱 만족스러웠어요,립라인만 따서 조금이라도 두껍게 보이도록 그려주고 있어요,색상이 무난한 색상이라서 다른 립스틱이랑 잘 어울려요,2호 샀는데 완전 자연스럽고 예뻐요 전에 마몽드 립펜슬 썼는데 색이 너무 튀어서 립 라이너만은 못쓰고 항상 립스틱을 위해 발라야했는데 이건 단독으로 발라도 티가 많이 안나서 좋아요,,,,,
G,P05,S05,90,0,P,촉촉,컬러,지속력,핑크,색상,2.78,2.75,2.0,1.97,1.87
G,P05,S05,90,1,P,그만큼 여쿨라특히 페일에게 안어울리기 힘들 듯한 핑크립 너무 딸기우유틱하지 않은 핑크립스틱 쿨톤 베이스립으로도 활용하기 좋은 색상 같음,벽돌색에가깝지만 발라보면 핑크45 레드 55 컬러예요,전에 쓰던 거랑 비슷한 색인데 좀 더 촉촉한 걸 찾았는데 딱 좋았습니다,예쁜 코랄이라 부담스럽지 않고 데일리하게 바탕컬러로 잘 쓰고 있어요,색진짜 무난한듯 고급스럽고 은근히 튀는게 정말맘에들어요,,,,,
G,P05,S05,90,0,N,샤넬,촉촉,지속력,색이,레드,2.46,1.59,1.53,1.18,1.01
G,P05,S05,90,1,N,샤넬이니 케이스도 짱짱함  다른 브랜드에서 찾기 힘든 고급진 톤다운 핑크립 짱짱하고 야무진 샤넬 케이스단점  제대로 된 발색샷 찾기 힘듦 옅은 색이라 매장 조명에서도 노오란 조명 탓에 색이 다 날라가서 발색보기 힘들었음,부드럽게 발리고 색감도 좋고 샤넬은 20대때 송혜교 립스틱으로 유명했던 색깔부터 시작해서 하나씩 사모았던 기억이 나요,136번 선물로 받았는데 촉촉해서 겨울에 쓰기 좋아요,발림성이 정말 좋구 첨에 열어봤을 때 생각보다 형광끼가 많이 돌아서 당황했었는데 발라보니까 색이 확 다르더라구요,장점 촉촉한게 좋아서 입생틴트만쓰다가 선물받아서 써본 샤넬 루쥬 알뤼르 99호 인데 컬러가진짜 너무이뻐서 4번째에요,,,,,
G,P05,S05,91694,0,P,매트,입술,좋아,틴트,립매터,4.29,3.68,3.41,2.98,2.86
G,P05,S05,91694,1,P,한창 매트립에 빠졌을 때 샀는데 아무래도 원래 매트한 립을 바르는 거랑 립매터로 바꾼 거랑은 느낌이 다르더라구요,발랐을때처럼 찐하게 남아있진 않지만 흉하게 착색이 안남아서 좋아요ㅠㅠ,주름 사이사이 잘 매워줘서 보들보들해지고 립발색이라던지 립 지속력이 드라마틱은 아니여도 확실히 올라가는것같아요,그 어떤 립 제품을 발라도 30분을 못가는 입술을 가졌는데립매터라는 걸 사고나서부터는 마스크껴도오래오래 갑니다ㅎㅎㅎ 일부러 타투립 이런거만 샀었는데이제 좋아하는거 아무거나 살 수 있어서 좋아요,진짜 되겠어 하는 마음으로 산 제품이었는데 발림성도 너무 좋고 진짜 자연스럽게 픽스되더라구요,,,,,
G,P05,S05,91694,0,N,입술,각질,매트,틴트,지속력,4.17,3.16,2.08,2.06,1.46
G,P05,S05,91694,1,N,발랐을때처럼 찐하게 남아있진 않지만 흉하게 착색이 안남아서 좋아요ㅠㅠ,하나마나 똑같아서 3년넘게 그냥 방치되어있네여 혹시나 발라봐도 별다른점은 모르겠어요,겨울에는 안그래도 매트한 입술이 더 매트해져서 못쓰고요 ㅎㅎ 여름에 각질제거 거의 매일하다시피 할때 씁니다,아예 안묻는 수준은 아니지만 묻는 양이 거의 기존의 14 이하로 줄음진짜 이거 단종 절대안된다 앞으로 색깔 예뻐서 산 글로시립들 다 이걸로 매트하게 쓸듯 매트립 좋아하시는분 무조건 사세요롬앤 이거 홍보좀 더해줘요,사실 바르기 전 후의 차이를 크게 모르겠어요 ㅠㅠ,,,,,
G,P05,S05,95456,0,P,색상,오렌지,매트,입술,발라도,4.96,3.48,3.15,2.76,2.62
G,P05,S05,95456,1,P,게다가 벨벳타입이 아무리 잘나와도 각질부각되는 제품이 많은데  이건 진짜 대충 각질이 있어도 부각이 거의 안되요  립밤만 대충 발라놓고 각질 제거 잘안됐어도 각질이 막 일어나거나 하지 않아요,벨벳 립스틱인지만 건조하지않고 약간 촉촉하게 각질부각없이 잘 발리는 것 같았어요,가을겨울에 쓰기 좋은 딥하면서 쨍한 레드컬러입니다,엘지생건 요즘 색조도 매트한거 밀착력도 그렇고 각질부각 전혀 없고  짱짱이에여,색상도 잘 나왔고 질감도 좋아서 갠적으로 만족_,,,,,
G,P05,S05,95456,0,N,색상,부드럽게,각질,입술,매트,2.9,2.23,1.92,1.92,1.87
G,P05,S05,95456,1,N,게다가 벨벳타입이 아무리 잘나와도 각질부각되는 제품이 많은데  이건 진짜 대충 각질이 있어도 부각이 거의 안되요  립밤만 대충 발라놓고 각질 제거 잘안됐어도 각질이 막 일어나거나 하지 않아요,RD308 로즈컷 정석 레드컬러에 약간 핑크끼가 들어간 쿨한느낌 맥 매트 립스틱이랑 질감이랑 표현이 거의 비슷함 개인적으로 로즈컷은 웜톤보단 쿨톤이 잘 어울릴 레드같음,선물받아서 사용중인데 각질이 잘 일어나요 ㅠㅡㅠ,확실히 부드럽게 잘 발리면서 발색력이 뛰어나고 밀착도 잘되는데 아쉬운점은 지속력,각질없는 윗입술에 발라보니 부드럽게 스윽 발렸음 보송보송하고 끈적대지 않는게 매우 좋음,,,,,
G,P05,S06,129308,0,P,입술,바르고,립제품,각질,발색,2.2,1.61,1.43,1.33,1.03
G,P05,S06,129308,1,P,주름끼임 덜해지고 개인적으로는 입술 안쪽만 지워지는 현상도 막아준다고 느꼈어요,써보는데 확실히 발색 자체가 완전 다르더라고요 그리고 입술 주름도 메워줘서 립 표현도 훨씬 예쁘게 돼요,매트한 립과는 정말 잘 어울리고 바르고 안바르고 발색 차이가 있어요,입술이 좀 건조한 편이고 주름이 있어서 립제품 바를 때 립스틱보다는 립틴트를 선호했어요근데 이 제품 쓰고 나서는 립스틱 마음껏 바르고 있습니다프라이머라서 번들거리려나 했는데 전혀 아니고요1만 5천원 값을 하고 있습니다바세린과는 다르게 번들거림이 아니라 촉촉함이고요나름의 지속력도 좋습니다,각질많은데 싹 메워줘서 고르게 잘 발려요,,,,,
G,P05,S06,129308,1,N,그렇게 좋은지 모르게써용 제가 가진 립스틱들 올렸을땐 립스틱이 다 겉돌더라눈 ㅠㅠ 리뷰 평 좋은데 속은 느낌이에여 저는 각질부각 원래 심하고 건성 피부인 사람이구용 입술도 건조 그 자체입미덩 건성이 쓰기엔 무리같네욜 ㅠㅠㅠ크쿠튜,밤 새는 일이 많은 직업이라 구매했어요각질이 잘 일어나는 타입인데 그럴 때마다 이 제품 사욘하고 위에 립틴트를 발라요 최소한 좀비처럼 보이진 않더라고요 ㅋㅋㅋ 이가격에 이 정도 역활한거면 가성비 짱 아닌가여 ,,,,,,,,
G,P05,S06,144782,0,P,립밤,컬러,틴트,촉촉,입술,4.23,4.14,4.03,3.67,3.09
